DIRECTORIO,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,inseguro_caminando_solo_noche,inseguro_caminando_solo_dia,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,inseguro_discotecas,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral
607101,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,disminuyo,4,5,2
607101,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,disminuyo,disminuyo,aumento,disminuyo,aumento,aumento,disminuyo,no sabe,aumento,3,4,4
607102,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,4,3,5
607102,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,disminuyo,4,4,4
607103,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,4,4
607103,2,3,2,2,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,4,4
607103,2,3,5,5,disminuyo,no,inseguro,no frecuenta parques,seguro,no toma transporte publico,no frecuenta puentes y peatonales,5,ley poco dura contra delincuentes,aumento,no sabe,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607103,2,3,5,5,disminuyo,no,inseguro,no frecuenta parques,seguro,no toma transporte publico,no frecuenta puentes y peatonales,5,ley poco dura contra delincuentes,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,4,4,4
607105,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,5,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4
607105,3,3,3,2,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,4,4
607105,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4
607106,3,3,3,3,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,3,3,3
607106,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,no sabe,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607106,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607107,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,no sabe,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,2,2,2
607107,3,3,4,3,siguio igual,no,inseguro,seguro,seguro,seguro,inseguro,5,falta de vigilacia policial,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,2,2,2
607107,3,3,4,4,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,2,2,2
607108,2,3,3,3,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,4,4,4
607108,3,3,3,2,siguio igual,no,inseguro,inseguro,no frecuenta lugares comerciales,seguro,inseguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,aumento,4,4,4
607108,2,3,3,2,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,seguro,no frecuenta puentes y peatonales,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,disminuyo,4,4,4
607109,3,4,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
607109,3,3,3,3,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,4
607109,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,3
607109,3,3,5,5,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,dar papaya,aumento,no sabe,no sabe,disminuyo,disminuyo,aumento,aumento,no sabe,no sabe,aumento,3,3,3
607110,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,disminuyo,no sabe,disminuyo,4,5,5
607110,3,3,3,3,siguio igual,si,seguro,no frecuenta parques,inseguro,seguro,no frecuenta puentes y peatonales,5,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,1
607110,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,4,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,disminuyo,disminuyo,no sabe,no sabe,3,3,3
607111,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,seguro,inseguro,seguro,5,desempleo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,3,3,3
607111,2,2,5,5,disminuyo,no,inseguro,no frecuenta parques,seguro,seguro,no frecuenta puentes y peatonales,5,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,4,3,2
607112,2,3,3,2,disminuyo,no,inseguro,inseguro,seguro,seguro,seguro,3,desempleo,no sabe,disminuyo,aumento,no sabe,disminuyo,disminuyo,disminuyo,disminuyo,aumento,disminuyo,4,3,4
607112,2,2,2,3,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,falta de vigilacia policial,no sabe,disminuyo,aumento,disminuyo,disminuyo,aumento,aumento,aumento,disminuyo,no sabe,3,3,4
607113,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,2,2,2
607113,3,3,3,3,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,5,falta de vigilacia policial,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,2,2,2
607114,2,3,3,3,disminuyo,no,inseguro,inseguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,no sabe,4,4,4
607115,3,3,3,4,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,4,2
607115,3,2,3,3,siguio igual,no,inseguro,inseguro,seguro,seguro,seguro,4,ley poco dura contra delincuentes,aumento,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,3
607115,4,3,3,3,no vivia antes en la ciudad en ese periodo,no,inseguro,seguro,seguro,seguro,seguro,3,falta de educacion,aumento,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,5,5
607116,2,3,3,2,disminuyo,no,inseguro,inseguro,inseguro,seguro,seguro,3,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,3,4,4
607116,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,dar papaya,aumento,no sabe,no sabe,disminuyo,disminuyo,no sabe,no sabe,aumento,no sabe,no sabe,5,5,5
607117,3,3,3,3,siguio igual,si,inseguro,no frecuenta parques,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,3,1
607117,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,3,1
607118,3,4,3,5,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,5,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,3,5
607118,3,4,3,2,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,5,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,3
607118,3,4,3,2,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
607119,4,4,4,3,no vivia antes en la ciudad en ese periodo,si,seguro,seguro,seguro,seguro,seguro,4,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
607119,3,4,4,3,siguio igual,no,seguro,seguro,seguro,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,9
607120,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4
607120,2,3,5,3,disminuyo,no,inseguro,seguro,seguro,no toma transporte publico,seguro,3,falta de vigilacia policial,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607120,2,3,5,5,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,ley poco dura contra delincuentes,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,4,4,4
607120,2,3,2,2,disminuyo,si,seguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,no sabe,no sabe,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,4,4,4
607120,2,3,3,2,disminuyo,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,no sabe,4,4,4
607121,3,3,3,3,siguio igual,si,inseguro,no frecuenta parques,seguro,no toma transporte publico,seguro,5,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,3,5
607121,2,3,3,3,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,3,5
607121,2,3,3,3,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,3,falta de educacion,aumento,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,4,5
607121,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,3,4
607122,3,3,4,3,siguio igual,si,inseguro,inseguro,inseguro,seguro,seguro,5,desempleo,aumento,disminuyo,disminuyo,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,4,3,4
607123,2,3,5,2,disminuyo,si,inseguro,no frecuenta parques,inseguro,seguro,seguro,5,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,5,4,4
607123,2,3,2,5,disminuyo,si,inseguro,no frecuenta parques,inseguro,seguro,seguro,5,desempleo,disminuyo,disminuyo,disminuyo,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,5,3,1
607123,3,3,5,3,siguio igual,si,inseguro,inseguro,inseguro,seguro,seguro,5,desempleo,disminuyo,disminuyo,aumento,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,5,3,1
607124,4,3,4,4,no vivia antes en la ciudad en ese periodo,si,seguro,seguro,seguro,seguro,seguro,5,desempleo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,5,3,3
607124,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,5,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,4,4
607124,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,4,5
607125,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,5,falta de vigilacia policial,disminuyo,aumento,aumento,disminuyo,disminuyo,aumento,aumento,aumento,no sabe,no sabe,5,4,4
607126,3,3,4,2,siguio igual,no,inseguro,inseguro,seguro,inseguro,seguro,3,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,disminuyo,4,4,4
607127,3,3,4,4,siguio igual,no,seguro,seguro,seguro,seguro,seguro,5,desempleo,no sabe,aumento,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,2,2,2
607127,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,2,2,2
607128,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,4,4,4
607129,2,3,5,2,disminuyo,no,inseguro,seguro,inseguro,no toma transporte publico,seguro,3,dar papaya,no sabe,disminuyo,disminuyo,aumento,disminuyo,aumento,aumento,no sabe,disminuyo,no sabe,4,4,4
607129,2,2,5,3,disminuyo,no,inseguro,inseguro,inseguro,seguro,seguro,3,dar papaya,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,3,4,4
607130,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,2,2,2
607130,3,3,3,3,siguio igual,no,inseguro,inseguro,inseguro,seguro,inseguro,4,falta de vigilacia policial,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,2,2,2
607131,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,inseguro,inseguro,5,ley poco dura contra delincuentes,no sabe,aumento,aumento,no sabe,aumento,disminuyo,disminuyo,disminuyo,no sabe,no sabe,4,4,3
607132,3,3,3,1,siguio igual,no,inseguro,inseguro,inseguro,seguro,seguro,3,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
607132,2,2,4,2,disminuyo,no,inseguro,inseguro,inseguro,seguro,inseguro,2,desempleo,no sabe,no sabe,no sabe,no sabe,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607132,3,2,4,2,siguio igual,no,inseguro,inseguro,inseguro,inseguro,inseguro,5,dar papaya,no sabe,no sabe,no sabe,no sabe,disminuyo,disminuyo,no sabe,disminuyo,no sabe,no sabe,4,4,3
607132,3,3,3,2,siguio igual,no,inseguro,no frecuenta parques,inseguro,seguro,inseguro,2,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,4,3,3
607133,4,3,4,4,no vivia antes en la ciudad en ese periodo,si,seguro,seguro,seguro,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4
607133,4,4,4,3,no vivia antes en la ciudad en ese periodo,si,inseguro,no frecuenta parques,seguro,seguro,no frecuenta puentes y peatonales,4,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,3
607133,3,4,5,2,siguio igual,no,seguro,seguro,seguro,seguro,seguro,5,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,4,4,4
607134,1,1,1,1,aumento,si,inseguro,inseguro,inseguro,seguro,seguro,3,falta de educacion,aumento,aumento,no sabe,disminuyo,aumento,no sabe,disminuyo,aumento,no sabe,no sabe,5,3,2
607135,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,seguro,5,el consumo de drogas,disminuyo,aumento,no sabe,aumento,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,no sabe,4,4,4
607135,2,2,2,2,disminuyo,no,inseguro,inseguro,seguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,no sabe,4,4,4
607135,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,seguro,3,falta de educacion,aumento,disminuyo,no sabe,aumento,aumento,disminuyo,aumento,disminuyo,no sabe,no sabe,4,4,4
607135,1,3,2,2,aumento,si,inseguro,inseguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,3,4,5
607135,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,2,falta de vigilacia policial,aumento,disminuyo,no sabe,aumento,disminuyo,disminuyo,no sabe,disminuyo,no sabe,no sabe,4,3,5
607136,2,3,3,2,disminuyo,no,inseguro,inseguro,seguro,seguro,inseguro,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,4,4
607136,2,3,4,2,disminuyo,no,inseguro,inseguro,seguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,5,5
607136,2,2,3,2,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,inseguro,inseguro,2,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,2
607137,2,3,4,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,4,desempleo,no sabe,no sabe,no sabe,aumento,no sabe,aumento,no sabe,aumento,no sabe,no sabe,2,2,4
607138,3,2,4,3,siguio igual,si,inseguro,inseguro,seguro,seguro,seguro,3,el consumo de drogas,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,4,3,2
607140,3,3,5,2,siguio igual,no,inseguro,no frecuenta parques,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,el consumo de drogas,disminuyo,no sabe,no sabe,aumento,no sabe,aumento,no sabe,aumento,no sabe,no sabe,4,4,5
607140,3,3,4,2,siguio igual,no,inseguro,inseguro,inseguro,seguro,no frecuenta puentes y peatonales,5,el consumo de drogas,no sabe,no sabe,no sabe,aumento,aumento,disminuyo,no sabe,aumento,no sabe,no sabe,4,4,4
607140,3,3,5,3,siguio igual,no,inseguro,inseguro,no frecuenta lugares comerciales,seguro,seguro,5,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,5,3,1
607140,3,3,5,3,siguio igual,no,inseguro,seguro,no frecuenta lugares comerciales,seguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,4,9
607141,2,3,4,2,disminuyo,no,inseguro,inseguro,inseguro,seguro,seguro,3,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,3,3,2
607141,3,3,5,2,siguio igual,no,inseguro,inseguro,inseguro,seguro,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,3
607142,2,3,2,2,disminuyo,si,seguro,no frecuenta parques,seguro,seguro,seguro,5,ley poco dura contra delincuentes,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,4,5,5
607142,2,3,5,2,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,inseguro,inseguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,no sabe,5,4,1
607143,3,4,4,3,siguio igual,si,seguro,no frecuenta parques,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,3,1,1
607143,3,4,4,2,siguio igual,si,inseguro,no frecuenta parques,no frecuenta lugares comerciales,seguro,no frecuenta puentes y peatonales,2,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,5,2,2
607143,4,4,4,4,no vivia antes en la ciudad en ese periodo,si,inseguro,no frecuenta parques,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,2,2
607144,2,4,4,2,disminuyo,no,inseguro,no frecuenta parques,inseguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,2,1
607145,2,3,5,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,disminuyo,disminuyo,disminuyo,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,5,4,4
607145,2,3,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,3,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,2,2
607146,1,2,1,1,aumento,no,inseguro,inseguro,seguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,5
607147,2,3,3,2,disminuyo,no,inseguro,no frecuenta parques,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,4,3,4
607148,2,3,5,2,disminuyo,si,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,5,desempleo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,4,2,2
607149,1,3,1,1,aumento,no,inseguro,inseguro,seguro,seguro,inseguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
607150,1,3,2,2,aumento,no,inseguro,seguro,seguro,seguro,seguro,3,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,5,3,4
607151,2,2,5,2,disminuyo,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,3,desempleo,aumento,aumento,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,2
607151,2,3,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,2,2
607152,2,2,2,2,disminuyo,si,inseguro,inseguro,seguro,inseguro,seguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,no sabe,4,3,4
607152,2,2,2,2,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,3,falta de educacion,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,disminuyo,no sabe,disminuyo,4,4,4
607152,2,3,2,2,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,inseguro,no frecuenta puentes y peatonales,5,desempleo,disminuyo,disminuyo,no sabe,aumento,aumento,aumento,disminuyo,disminuyo,no sabe,no sabe,4,1,3
607152,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,5,desempleo,disminuyo,disminuyo,aumento,aumento,aumento,aumento,disminuyo,no sabe,disminuyo,disminuyo,5,3,3
607153,2,3,5,2,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
607153,3,3,3,3,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,5,falta de educacion,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,5,5
607153,3,3,3,3,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,3,el consumo de drogas,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,5,5,5
607154,2,3,3,2,disminuyo,no,inseguro,inseguro,seguro,seguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,3
607154,2,3,4,2,disminuyo,no,inseguro,inseguro,seguro,seguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,3
607155,1,3,1,1,aumento,si,inseguro,inseguro,seguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,disminuyo,no sabe,no sabe,no sabe,no sabe,5,3,5
607156,2,3,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,inseguro,no frecuenta puentes y peatonales,3,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,3,4,4
607156,2,3,2,2,disminuyo,si,inseguro,inseguro,inseguro,inseguro,seguro,3,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4
607157,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,desempleo,disminuyo,disminuyo,disminuyo,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,5,3,4
607157,2,3,2,2,disminuyo,si,inseguro,no frecuenta parques,no frecuenta lugares comerciales,seguro,no frecuenta puentes y peatonales,3,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,4,2,2
