Sexo,Edad,Ocupacion,DIRECTORIO_new,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral,Ciudad,Clase,Estrato,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
Mujer,40,Trabajando,633166111,Poco,Poco,Poco,Nada,Poco,Poco,Nada,Nada,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,seguro,inseguro,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,3,Bogotá,Cabecera,3.0,no,no,no,si,si,no,no,no,no,no,no,si
Mujer,38,Otra actividad,633167111,Poco,Nada,Poco,Mucho,Mucho,Poco,Poco,Poco,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,no sabe,5,5,5,Bogotá,Cabecera,4.0,no,no,no,si,si,no,no,no,no,no,no,si
Mujer,35,Trabajando,633169111,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,falta de vigilacia policial,disminuyo,aumento,no sabe,no sabe,no sabe,disminuyo,aumento,aumento,no sabe,disminuyo,4,4,4,Bogotá,Cabecera,4.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,64,Trabajando,633170111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,inseguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,aumento,no sabe,no sabe,3,3,3,Bogotá,Cabecera,4.0,no,no,no,no,no,no,no,no,no,si,no,si
Hombre,71,Pensionado,633171111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,falta de educacion,aumento,no sabe,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,4,4,3,Bogotá,Cabecera,4.0,si,no,no,si,no,no,no,no,no,no,no,si
Hombre,67,Trabajando,633172111,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,seguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,4,4,4,Bogotá,Cabecera,4.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,63,Trabajando,633173111,Poco,Nada,Nada,Nada,Nada,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,seguro,seguro,seguro,seguro,seguro,falta de educacion,aumento,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,3,3,3,Bogotá,Cabecera,4.0,no,no,no,no,si,no,no,no,no,no,no,si
Hombre,42,Trabajando,633174111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,inseguro,inseguro,no toma transporte publico,seguro,dar papaya,no sabe,aumento,aumento,no sabe,no sabe,aumento,aumento,disminuyo,disminuyo,no sabe,4,4,4,Bogotá,Cabecera,4.0,no,no,si,si,si,si,no,no,si,si,no,no
Hombre,35,Trabajando,633175111,Poco,Nada,Nada,Nada,Nada,Nada,Poco,Poco,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,si,seguro,seguro,no frecuenta lugares comerciales,seguro,seguro,falta de vigilacia policial,aumento,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,4,4,4,Bogotá,Cabecera,4.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,62,Pensionado,633176111,Nada,Poco,Nada,Poco,Poco,Mucho,Poco,Poco,4,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,si,seguro,seguro,seguro,no toma transporte publico,seguro,ley poco dura contra delincuentes,aumento,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,5,2,Bogotá,Cabecera,3.0,no,no,no,si,no,no,no,no,no,no,no,si
