DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600042,237,1,1,1,57.75403985,Poco,Nada,Nada,Nada,Nada,Poco,Poco,Nada,1,1,0
600042,237,2,1,2,57.75403985,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600043,237,1,1,1,54.875634728,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600043,237,2,1,2,54.875634728,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600043,237,3,1,3,54.875634728,Poco,Poco,Poco,Nada,Poco,Nada,Nada,Poco,3,2,0
600044,237,1,1,1,51.826168608,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600045,237,1,1,1,73.636170106,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,2,2,0
600045,237,2,1,2,73.636170106,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600046,237,1,1,1,81.558370343,Poco,Poco,Nada,Nada,Nada,Nada,Poco,Poco,3,3,0
600046,237,2,1,2,81.558370343,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,3,0
600046,237,3,1,3,81.558370343,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600046,237,4,1,4,81.558370343,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600047,237,1,1,1,77.410832513,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600047,237,2,1,2,77.410832513,Poco,Poco,Nada,Poco,Nada,Poco,Poco,Mucho,4,5,0
600048,237,1,1,1,78.42746978,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600048,237,2,1,2,78.42746978,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600049,237,1,1,1,69.854666268,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600049,237,2,1,2,69.854666268,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
600049,237,3,1,3,69.854666268,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600050,237,1,1,1,49.436357449,Mucho,Mucho,Nada,Poco,Poco,Poco,Poco,Poco,2,3,0
600050,237,2,1,2,49.436357449,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,3,1
600051,237,1,1,1,57.647309224,Mucho,Nada,Nada,Nada,Nada,Nada,Mucho,Nada,1,5,0
600051,237,2,1,2,57.647309224,Poco,Poco,Poco,Mucho,Mucho,Poco,Mucho,Mucho,1,1,0
600052,237,1,1,1,120.15095337,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,2,3,0
600052,237,2,1,2,120.15095337,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600052,237,3,1,3,120.15095337,Mucho,Mucho,Mucho,Poco,Poco,Poco,Mucho,Poco,3,3,0
600053,237,1,1,1,57.222861927,Mucho,Nada,Poco,Nada,Nada,Poco,Nada,Nada,1,1,0
600053,237,2,1,2,57.222861927,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600053,237,3,1,3,57.222861927,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,1,1,0
600053,237,4,1,4,57.222861927,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Poco,1,1,0
600054,237,1,1,1,63.259299745,Poco,Mucho,Nada,Poco,Poco,Mucho,Poco,Poco,3,1,1
600054,237,2,1,2,63.259299745,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,2,2,0
600055,237,1,1,1,46.26154918,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Nada,5,5,0
600055,237,2,1,2,46.26154918,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600055,237,3,1,3,46.26154918,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,4,5,0
600056,237,1,1,1,57.765190628,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Poco,3,3,1
600056,237,2,1,2,57.765190628,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600057,237,1,1,1,63.016571594,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600057,237,2,1,2,63.016571594,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600058,237,1,1,1,67.430394602,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,3,1,0
600058,237,2,1,2,67.430394602,Poco,Poco,Poco,Poco,Nada,Poco,Nada,Nada,3,1,0
600058,237,3,1,3,67.430394602,Poco,Mucho,Nada,Poco,Poco,Poco,Poco,Nada,3,1,0
600058,237,4,1,4,67.430394602,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Nada,3,2,0
600058,237,6,1,6,67.430394602,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Nada,5,4,0
600059,237,1,1,1,94.331960548,Mucho,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Poco,4,4,0
600059,237,2,1,2,94.331960548,Mucho,Mucho,Mucho,Mucho,Mucho,Nada,Mucho,Mucho,4,4,0
600060,237,1,1,1,51.555643338,Mucho,Mucho,Poco,Poco,Nada,Nada,Nada,Poco,4,4,0
600060,237,2,1,2,51.555643338,Mucho,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600060,237,3,1,3,51.555643338,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Poco,1,1,0
600060,237,4,1,4,51.555643338,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,4,0
600061,237,1,1,1,48.772873336,Mucho,Mucho,Poco,Poco,Nada,Poco,Mucho,Mucho,5,4,0
600061,237,2,1,2,48.772873336,Mucho,Poco,Poco,Nada,Nada,Poco,Mucho,Mucho,4,5,0
600061,237,3,1,3,48.772873336,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600062,237,1,1,1,53.591291869,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600062,237,2,1,2,53.591291869,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600062,237,4,1,4,53.591291869,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600063,237,1,1,1,62.554208091,Poco,Poco,Nada,Nada,Poco,Poco,Poco,Nada,2,2,0
600063,237,2,1,2,62.554208091,Mucho,Poco,Poco,Nada,Poco,Poco,Poco,Poco,2,2,0
600064,237,1,1,1,52.20915166,Poco,Mucho,Nada,Poco,Mucho,Poco,Nada,Poco,3,3,0
600064,237,2,1,2,52.20915166,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,5,0
600065,237,1,1,1,79.431887889,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Mucho,4,3,0
600065,237,2,1,2,79.431887889,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Mucho,1,1,0
600065,237,3,1,3,79.431887889,Poco,Poco,Poco,Poco,Nada,Nada,Poco,Poco,3,3,0
600065,237,5,1,5,79.431887889,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,3,4,0
600066,237,1,1,1,69.091947684,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,1,0
600066,237,2,1,2,69.091947684,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,2,0
600066,237,3,1,3,69.091947684,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,1
600067,237,1,1,1,77.885352392,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,1,1
600067,237,2,1,2,77.885352392,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Poco,1,1,0
600068,237,1,1,1,69.39232377,Poco,Poco,Nada,Poco,Poco,Mucho,Poco,Poco,3,4,0
600068,237,2,1,2,69.39232377,Mucho,Mucho,Nada,Nada,Nada,Poco,Mucho,Poco,5,4,0
600068,237,3,1,3,69.39232377,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,3,3,0
600069,237,1,1,1,51.988671565,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600069,237,2,1,2,51.988671565,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600070,237,1,1,1,83.748820242,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,4,3,0
600071,237,1,1,1,78.669986825,Poco,Nada,Nada,Nada,Poco,Nada,Nada,Nada,3,3,0
600071,237,2,1,2,78.669986825,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0
600072,237,1,1,1,110.53437156,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600072,237,2,1,2,110.53437156,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600072,237,3,1,3,110.53437156,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600073,237,1,1,1,101.6652386,Poco,Nada,Poco,Poco,Nada,Nada,Nada,Nada,3,3,0
600073,237,2,1,2,101.6652386,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,1,0
600074,237,1,1,1,50.729212774,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
600074,237,2,1,2,50.729212774,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600075,237,1,1,1,55.587565692,Nada,Nada,Nada,Nada,Nada,Nada,Poco,Nada,3,3,0
600075,237,2,1,2,55.587565692,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Nada,3,3,0
600075,237,3,1,3,55.587565692,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
