DIRECTORIO,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600037,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Poco,4,3,0
600038,Poco,Poco,Nada,Poco,Poco,Poco,Nada,Nada,1,3,0
600038,Nada,Nada,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0
600038,Mucho,Nada,Nada,Poco,Nada,Poco,Nada,Nada,4,4,1
600039,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
600039,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600039,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600040,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,3,3,0
600040,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600040,Poco,Poco,Poco,Poco,Nada,Nada,Nada,Nada,2,2,0
600041,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Poco,3,3,0
600041,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,4,4,0
600042,Poco,Nada,Nada,Nada,Nada,Poco,Poco,Nada,1,1,0
600042,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600043,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600043,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600043,Poco,Poco,Poco,Nada,Poco,Nada,Nada,Poco,3,2,0
600044,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600045,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,2,2,0
600045,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600046,Poco,Poco,Nada,Nada,Nada,Nada,Poco,Poco,3,3,0
600046,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,3,0
600046,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600046,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600047,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600047,Poco,Poco,Nada,Poco,Nada,Poco,Poco,Mucho,4,5,0
600048,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600048,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600049,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600049,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
600049,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600050,Mucho,Mucho,Nada,Poco,Poco,Poco,Poco,Poco,2,3,0
600050,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,3,1
600051,Mucho,Nada,Nada,Nada,Nada,Nada,Mucho,Nada,1,5,0
600051,Poco,Poco,Poco,Mucho,Mucho,Poco,Mucho,Mucho,1,1,0
600052,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,2,3,0
600052,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600052,Mucho,Mucho,Mucho,Poco,Poco,Poco,Mucho,Poco,3,3,0
600053,Mucho,Nada,Poco,Nada,Nada,Poco,Nada,Nada,1,1,0
600053,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600053,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,1,1,0
600053,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Poco,1,1,0
600054,Poco,Mucho,Nada,Poco,Poco,Mucho,Poco,Poco,3,1,1
600054,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,2,2,0
600055,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Nada,5,5,0
600055,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
