DIRECTORIO,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
600112,no,no,no,si,si,no,no,no,no,no,no,si
600113,no,no,no,no,no,no,no,no,no,no,no,no
600114,no,no,no,no,no,no,no,no,no,no,no,no
600115,no,no,no,si,si,no,no,no,si,si,no,no
600116,no,no,no,no,si,si,no,no,no,si,no,si
600117,si,no,no,si,no,no,no,no,si,si,no,si
600118,no,no,no,no,no,no,no,no,no,no,no,no
600119,no,no,no,no,no,no,no,no,no,no,no,no
600120,no,no,no,no,no,no,no,no,no,no,no,si
600121,no,no,no,no,no,no,no,no,no,no,no,si
600122,no,no,no,no,no,no,no,no,no,no,no,si
600123,no,no,no,si,no,no,no,no,no,no,no,si
600124,si,no,no,no,si,si,no,no,no,no,no,si
600125,no,no,no,no,no,no,no,no,no,no,no,no
600126,no,no,no,si,no,no,no,no,no,si,no,si
600127,no,no,no,si,no,no,no,no,no,si,no,si
600128,no,no,no,no,no,no,no,no,no,no,no,si
600129,no,no,no,no,no,no,no,no,no,no,no,no
600130,no,no,no,no,no,no,no,no,no,no,no,no
600131,no,no,no,no,no,no,no,no,no,no,no,no
600132,no,no,no,si,no,no,no,no,si,si,no,si
600133,no,no,si,si,si,no,no,no,si,no,no,si
600134,no,no,no,si,no,no,no,no,no,no,no,si
600135,no,no,no,no,si,si,no,no,no,no,no,no
600136,no,no,no,no,no,no,no,no,no,no,no,no
600137,no,no,no,no,no,no,no,no,no,no,no,si
600138,no,no,no,no,no,no,no,no,no,no,no,si
600139,no,no,no,no,no,no,no,no,no,no,no,no
600140,no,no,no,no,no,no,no,no,no,no,no,no
600141,no,no,no,no,no,no,no,no,no,no,no,no
600142,si,no,si,si,si,no,no,no,si,si,no,si
600143,no,no,no,no,no,no,no,no,no,no,no,si
600144,no,no,no,no,no,no,no,no,no,no,no,si
600145,no,no,no,si,no,no,no,no,si,si,no,si
600146,no,no,no,no,no,no,no,no,no,no,no,si
600147,no,no,si,no,no,no,no,no,si,si,no,si
600148,no,no,no,no,no,no,no,no,no,no,no,no
600149,no,no,no,no,no,no,no,no,no,no,no,no
600150,no,no,no,no,no,no,no,no,no,no,no,no
600151,no,no,no,no,no,no,no,no,no,no,no,no
600152,no,no,no,no,no,no,no,no,no,no,no,no
600153,no,no,no,no,no,no,no,no,si,no,no,si
600154,no,no,no,no,no,no,no,no,no,no,no,si
600155,no,no,si,si,si,no,no,no,si,si,no,si
600156,no,no,no,no,no,no,no,no,no,no,no,no
600157,no,no,no,no,no,no,no,no,no,no,no,si
600158,no,no,no,si,si,si,no,si,si,si,no,si
600159,si,no,no,si,si,no,no,no,no,si,no,si
600160,no,no,si,si,si,si,no,no,si,si,no,si
600161,no,no,no,no,no,no,no,no,no,no,no,si
600161,no,no,no,no,no,no,no,no,no,no,no,si
600162,no,no,no,no,no,no,no,si,no,no,no,si
600163,no,no,no,si,si,no,no,no,no,no,no,si
600164,no,no,si,si,no,no,no,no,no,no,no,si
600165,no,no,no,no,no,no,no,no,no,no,no,no
600166,no,no,no,no,no,no,no,no,no,no,no,si
600167,no,no,no,no,no,no,no,no,no,no,no,si
600168,no,no,no,no,no,no,no,no,no,no,no,no
600169,no,no,no,no,no,no,no,no,no,no,no,si
600170,no,no,no,no,no,no,no,no,no,no,no,si
600171,no,no,no,no,no,no,no,no,si,no,no,no
600172,no,no,no,no,no,no,no,no,no,no,no,no
600173,no,no,no,no,si,no,no,no,no,no,no,si
600174,no,no,no,no,no,no,no,no,no,no,no,si
600175,si,no,no,si,si,si,no,no,si,si,no,si
600176,si,no,no,no,no,no,no,no,si,no,no,si
600177,no,no,no,no,no,no,no,no,no,no,no,no
600178,si,no,si,si,si,no,no,no,si,no,no,si
600179,no,no,no,si,si,no,no,no,si,si,no,si
600180,no,no,no,no,no,no,no,no,no,no,no,no
600181,no,no,no,no,no,no,no,no,no,no,no,no
600182,no,no,no,no,no,no,no,no,no,no,no,si
600183,si,si,no,si,no,no,no,no,no,si,no,si
600184,no,no,si,si,si,si,si,no,si,si,no,si
600185,no,no,no,no,no,no,no,no,no,no,no,no
600186,no,no,no,no,no,no,no,no,no,no,no,si
600187,no,no,no,si,no,no,no,no,si,no,no,si
600188,no,no,no,si,si,si,no,no,no,no,no,si
600189,no,no,no,no,no,no,no,no,no,no,no,no
600190,no,no,no,si,si,si,no,no,no,si,no,si
600191,no,no,no,no,no,si,no,no,no,no,no,si
600192,si,si,si,si,si,si,si,si,no,no,no,si
600193,no,no,no,si,no,no,no,no,no,no,no,si
600194,no,no,no,si,no,no,no,no,no,no,no,no
600195,no,no,no,no,no,no,no,no,no,no,no,si
600196,no,no,no,si,si,no,no,no,no,no,no,si
600197,no,no,no,no,no,no,no,no,no,no,no,no
600198,no,no,no,no,no,no,no,no,no,no,no,si
600199,no,no,no,no,no,no,no,no,no,no,no,si
600200,no,no,no,no,no,no,no,no,no,no,no,no
