DIRECTORIO,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
601527,no,no,si,si,si,si,no,no,no,si,no,si
601528,no,no,no,si,si,no,no,no,no,no,no,si
601529,si,no,no,si,si,si,no,no,no,no,no,si
601530,no,no,no,no,no,no,no,no,no,si,no,si
601531,no,no,no,si,no,no,no,no,no,no,no,si
601532,no,si,si,si,si,no,no,no,si,si,no,si
601533,no,no,no,no,no,no,no,no,no,no,no,no
601534,no,no,no,no,si,no,no,no,no,no,no,si
601535,no,no,no,si,no,si,no,no,no,no,no,no
601536,no,no,no,si,si,no,no,no,no,no,no,si
601537,no,si,si,no,no,si,no,no,no,si,no,si
601538,si,si,si,si,si,no,no,no,no,si,no,si
601539,no,no,no,no,no,no,no,no,no,no,no,si
601540,no,no,no,si,si,si,no,no,no,si,no,si
601541,no,no,no,no,no,no,no,no,no,no,no,no
601542,no,no,no,si,no,no,no,no,no,no,no,si
601543,no,no,no,si,no,no,no,no,si,si,no,si
601544,no,no,no,si,no,no,no,no,si,si,no,si
601545,no,no,no,si,no,no,no,no,si,si,no,si
601546,si,no,no,no,no,no,no,no,no,no,no,si
601547,no,no,no,no,no,no,no,no,no,no,no,no
601548,si,no,no,si,si,no,no,no,no,no,no,si
601549,no,no,no,si,no,no,no,no,no,no,no,si
601550,no,no,no,no,no,no,no,no,no,no,no,si
601551,no,no,no,si,no,no,no,no,no,no,no,si
601552,no,no,no,no,no,no,no,no,no,no,no,no
601553,no,no,no,si,no,si,si,no,no,si,no,si
601554,no,no,si,si,si,si,no,no,si,si,no,si
601555,no,no,no,no,no,no,no,no,no,no,no,no
601556,no,no,no,si,no,si,no,no,no,si,no,si
601557,no,si,si,si,si,no,no,no,si,si,no,si
601558,no,no,no,no,no,no,no,no,no,no,no,si
601559,no,no,no,si,no,no,no,no,no,no,no,no
601560,no,si,si,si,si,si,no,no,si,si,no,si
601561,no,no,si,no,si,no,no,no,no,no,no,si
601562,no,no,no,si,no,no,no,no,si,si,no,si
601563,no,no,no,no,no,no,no,no,no,no,no,no
601564,si,no,si,si,si,no,no,no,si,si,no,si
601565,no,no,no,no,no,no,no,no,no,si,no,si
601566,no,no,no,no,no,no,no,no,no,si,no,si
601567,no,no,si,si,si,no,no,no,si,si,no,si
601568,no,no,no,si,no,no,no,no,no,si,no,si
601569,no,no,no,si,no,no,no,no,no,no,no,no
601570,no,no,no,si,si,no,no,no,no,no,no,si
601571,no,no,si,si,si,si,no,no,si,si,no,si
601572,no,no,si,si,si,si,no,no,si,si,no,si
601573,no,no,no,no,no,no,no,no,no,no,no,no
601574,no,no,si,si,si,si,no,no,no,no,no,si
601575,no,no,no,no,no,no,no,no,no,no,no,si
601575,si,si,si,si,si,no,no,no,si,si,no,si
601575,no,no,no,si,si,si,no,si,no,si,no,si
601576,no,no,no,si,no,no,no,no,no,no,no,si
601577,no,no,no,no,no,no,no,no,no,no,no,no
601578,no,no,no,si,no,no,no,no,no,no,no,si
601579,no,no,si,si,no,si,no,no,si,si,no,si
601580,no,no,no,si,no,no,no,no,no,si,no,si
601582,no,no,no,si,si,si,no,no,no,si,no,si
601583,no,no,si,si,si,si,no,no,si,si,no,si
601584,si,si,no,si,si,si,si,no,si,si,no,si
601586,no,no,no,si,no,si,no,no,no,si,no,si
601587,no,no,si,si,no,si,no,no,si,si,no,si
601593,no,no,no,no,no,no,no,no,no,no,no,no
601594,si,si,no,si,si,si,no,no,no,si,no,si
601595,no,no,no,no,no,no,no,no,no,no,no,si
601596,no,no,no,si,no,no,no,no,no,no,no,si
601597,no,no,no,no,no,no,no,no,no,no,no,no
601598,no,no,no,no,no,no,no,no,no,no,no,no
601599,no,no,no,si,no,no,no,no,no,si,no,si
601600,no,no,no,no,no,no,no,no,no,no,no,si
601601,no,no,no,no,no,no,no,no,no,no,no,si
601602,no,no,no,no,no,no,no,no,no,no,no,si
601603,no,no,no,si,no,no,no,no,si,no,no,si
601604,no,no,no,no,no,no,no,no,no,no,no,si
601605,no,no,no,si,no,no,no,no,no,no,no,no
601606,no,no,no,no,no,no,no,no,no,no,no,si
601607,no,no,no,no,no,no,no,no,no,no,no,no
601608,no,no,no,si,no,no,no,no,si,si,no,si
601609,si,no,no,si,si,no,no,no,si,si,no,si
601610,no,no,no,si,si,no,no,no,si,no,no,si
601611,no,no,no,si,no,no,no,no,no,no,no,si
601612,no,no,no,no,no,no,no,no,no,no,no,si
601613,no,no,no,no,no,no,no,no,no,no,no,si
601614,no,no,no,no,no,no,no,no,no,no,no,si
601615,no,no,no,no,no,no,no,no,no,si,no,si
601616,no,no,no,si,no,no,no,no,no,no,no,si
601617,no,si,si,no,no,no,no,no,si,si,no,si
601618,no,no,no,no,no,no,no,no,no,no,no,si
601619,no,no,no,si,si,no,no,no,no,no,no,si
601620,no,no,no,no,no,no,no,no,no,no,no,no
601621,no,no,no,si,no,no,no,no,no,no,no,si
601622,no,no,no,si,si,no,no,no,no,si,no,si
601623,no,no,no,si,no,no,no,no,no,no,no,si
601626,si,no,si,si,si,no,no,no,no,no,no,si
601627,si,no,si,si,si,no,no,no,no,no,no,si
601628,si,no,no,si,si,no,no,no,no,no,no,si
601629,si,no,si,si,si,no,no,no,no,no,no,si
601630,si,no,no,si,si,no,no,no,no,no,no,si
601630,no,no,no,si,si,no,no,no,no,no,no,si
601631,si,no,no,no,no,si,no,no,si,si,no,si
601632,si,no,no,si,si,no,no,no,no,no,no,si
601633,si,si,si,si,si,si,no,no,si,si,no,si
601634,si,no,no,no,si,si,no,no,si,si,no,si
601635,no,no,no,no,no,no,no,no,no,no,no,si
601636,no,no,no,no,no,no,no,no,si,no,no,si
601637,no,si,no,si,no,si,no,no,si,no,no,si
601638,si,si,si,si,si,no,no,no,si,si,no,si
601639,si,no,si,si,si,no,no,no,no,si,no,si
601640,no,no,no,si,no,no,no,no,si,no,no,si
601641,si,no,no,si,si,no,no,no,si,si,no,si
601642,no,no,no,no,no,no,no,no,no,no,no,no
601643,no,no,si,si,si,no,no,no,si,si,no,si
601644,no,no,si,si,si,si,no,no,no,no,no,si
601645,no,no,si,si,si,si,no,si,no,no,no,si
601646,no,no,no,si,si,no,no,no,no,no,no,si
601647,no,no,no,si,si,si,no,no,no,no,no,si
601648,no,no,no,si,si,si,no,no,si,si,no,si
601649,no,no,no,no,no,no,no,no,no,no,no,si
601650,no,no,no,no,si,no,no,no,no,no,no,si
601651,no,no,no,no,no,no,no,no,no,no,no,no
601652,no,no,no,no,no,no,no,no,no,no,no,si
601653,no,no,si,si,si,si,si,no,si,no,no,si
601654,no,no,no,no,si,si,no,no,no,no,no,si
601655,no,no,no,si,no,no,no,no,no,si,no,si
601656,si,no,si,si,si,si,no,no,si,si,no,si
601657,no,no,no,si,no,no,no,no,no,no,no,si
601658,no,no,no,si,si,no,no,no,no,si,no,si
601659,no,no,no,si,si,no,no,no,no,no,no,si
601660,no,no,si,no,si,no,no,no,no,no,no,si
601662,no,no,no,no,no,no,no,no,no,no,no,no
601663,no,no,no,si,no,no,no,no,no,no,no,si
601664,no,no,no,si,si,no,no,no,si,si,no,si
601665,no,no,si,si,si,no,no,no,si,si,no,si
601666,no,no,no,si,no,no,no,no,no,no,no,si
601667,no,no,no,no,no,no,no,no,no,no,no,si
601668,no,no,no,no,no,no,no,no,si,no,no,si
601669,si,no,si,si,si,si,no,no,si,si,no,si
601670,no,no,no,no,no,no,no,no,si,no,no,no
601671,no,no,no,si,si,no,no,no,no,no,no,no
601672,si,si,si,si,si,si,no,no,si,si,no,si
601673,no,no,no,no,no,no,no,no,no,no,no,no
601674,si,si,si,si,si,no,no,no,si,si,no,si
601675,no,no,no,no,no,no,no,no,no,no,no,si
601676,no,no,no,si,si,no,no,no,no,no,no,si
601677,no,no,no,no,no,no,no,no,no,si,no,no
601677,no,no,no,no,no,no,no,no,no,no,no,no
601677,no,no,no,no,no,no,no,no,no,no,no,no
601678,no,no,no,no,si,no,no,no,no,no,no,si
601679,no,no,no,no,no,no,no,no,no,no,no,si
601680,no,no,no,si,si,no,no,no,no,no,no,si
601681,no,no,no,si,si,no,no,no,no,no,no,si
601682,no,no,no,no,no,no,no,no,no,no,no,no
601683,no,no,no,no,no,no,no,no,no,no,no,no
601684,no,no,no,si,si,no,no,no,no,no,no,si
601685,no,no,no,no,no,no,no,no,no,no,no,no
601686,no,no,si,si,si,no,no,no,si,si,no,si
601687,no,no,no,no,no,no,no,no,no,si,no,si
601688,no,no,no,no,no,no,no,no,no,no,no,si
601689,no,no,no,no,no,no,no,no,si,si,no,si
601690,no,no,no,si,no,no,no,no,no,no,no,no
601691,no,si,no,si,si,no,no,no,no,no,no,no
601692,no,no,no,no,no,no,no,no,no,si,no,si
601693,no,no,si,no,si,no,no,no,no,no,no,no
601694,no,no,no,si,si,no,no,no,si,no,no,si
601695,no,no,no,no,no,no,no,no,no,no,no,no
601696,no,no,no,no,no,no,no,no,no,no,no,si
601697,no,no,no,si,si,no,no,no,si,si,no,no
601698,no,si,no,si,no,no,no,no,no,no,no,si
601699,si,no,no,si,si,no,no,no,no,no,no,si
601700,no,no,no,no,no,no,no,no,no,no,no,no
601701,no,no,no,si,si,no,no,no,si,si,no,si
601702,no,no,no,no,si,si,no,no,si,no,no,no
601703,no,no,no,si,no,no,no,no,no,no,no,no
601704,no,no,no,si,si,si,no,no,no,no,no,si
601705,no,no,no,no,si,si,si,no,no,no,no,si
601706,no,no,no,no,no,no,no,no,si,si,no,si
601707,no,no,no,no,no,no,no,no,no,no,no,no
601708,no,no,no,si,si,no,no,no,no,no,no,si
601709,no,no,no,no,no,no,no,no,no,no,no,no
601710,no,no,no,si,si,no,no,no,si,si,no,si
601711,no,no,no,no,no,no,no,no,no,no,no,no
601712,si,no,si,si,si,no,no,no,si,si,no,si
601713,si,no,no,si,si,no,no,no,si,si,no,si
601714,no,no,si,si,si,no,no,no,si,si,no,si
601715,si,no,no,si,si,si,no,si,si,si,no,si
601717,no,no,no,no,no,no,no,no,no,no,no,si
601718,no,no,si,no,si,si,no,no,no,no,no,si
601719,no,no,no,si,si,no,no,no,no,si,no,si
601720,si,no,si,si,si,si,no,si,si,si,no,si
601721,si,no,no,si,si,no,no,no,si,no,no,no
601722,no,no,no,si,si,no,no,no,no,no,no,si
601723,si,no,si,si,si,si,no,si,si,si,no,si
601724,no,no,no,si,si,no,no,no,no,no,no,si
601725,no,no,no,no,no,no,no,no,si,no,no,si
601726,si,no,no,si,si,no,no,no,si,no,no,si
601727,si,no,no,si,si,no,no,no,no,si,no,si
601728,no,no,no,si,si,no,no,no,no,no,no,si
601729,no,no,no,no,no,no,no,no,no,no,no,no
601730,no,no,no,si,si,no,no,no,no,si,no,si
601731,si,no,no,si,si,si,no,no,si,no,no,si
601732,si,no,si,si,si,si,no,no,no,si,no,no
601733,si,no,si,si,si,si,no,no,si,si,no,si
601734,no,no,no,no,si,no,no,no,no,no,no,no
601735,no,no,si,si,si,no,no,no,no,si,no,si
601736,no,no,no,no,no,no,no,no,no,no,no,no
601737,no,no,no,si,si,no,no,no,si,si,no,si
601738,no,no,si,si,si,no,no,no,si,si,no,si
601739,no,no,si,si,si,no,no,no,si,no,no,si
601740,no,no,no,si,si,no,no,no,no,no,no,si
601741,no,no,no,no,no,no,no,no,si,no,no,si
601742,no,no,no,no,no,no,no,no,no,no,no,no
601743,no,no,no,si,no,no,no,no,si,si,no,no
601744,no,no,no,no,no,no,no,no,no,no,no,no
601745,no,no,no,si,si,no,no,no,si,si,no,si
601746,no,no,no,no,no,no,no,no,no,no,no,si
601747,si,no,no,si,si,no,no,no,si,si,no,si
601748,no,no,no,no,no,no,no,no,no,no,no,si
601749,no,no,no,si,no,no,no,no,si,no,no,no
601750,no,no,no,no,no,no,no,no,no,no,no,si
601751,no,si,no,si,si,si,no,no,si,si,no,si
601752,no,no,no,no,no,no,no,no,no,no,no,si
601753,no,no,no,no,no,no,no,no,no,no,no,no
601754,no,no,no,si,si,no,no,no,si,si,no,si
601755,no,no,no,si,si,no,no,no,no,si,no,si
601756,no,no,si,si,si,no,no,no,si,si,no,si
601757,no,no,no,si,si,no,no,no,si,si,no,si
601758,no,no,si,si,si,no,no,no,si,no,no,si
601759,no,no,no,no,no,no,no,no,no,no,no,no
601760,no,no,no,no,no,no,no,no,si,si,no,si
601761,no,no,no,no,no,no,no,no,si,si,no,si
601762,no,no,no,no,no,no,no,no,si,si,no,no
601763,no,no,no,no,no,no,no,no,no,no,no,no
601764,no,no,no,si,si,si,no,no,si,si,no,si
601765,no,no,no,no,no,no,no,no,no,no,no,no
601766,no,no,no,si,si,no,no,no,no,si,no,si
601767,no,no,no,si,si,si,no,no,no,no,no,no
601768,no,no,no,si,si,no,no,no,no,no,no,no
601769,no,no,no,si,si,no,no,no,no,no,no,si
601770,si,no,no,si,si,no,no,no,si,si,no,si
601771,no,no,no,no,no,no,no,no,no,si,no,si
601772,no,no,no,si,si,no,no,no,si,si,no,si
601773,no,no,no,si,no,no,no,no,no,no,no,si
601774,no,no,no,si,si,no,no,no,no,no,no,si
601775,no,no,no,no,si,no,no,no,no,no,no,si
601776,no,no,no,no,no,no,no,no,no,no,no,no
601777,no,no,no,no,si,no,no,no,no,no,no,no
601778,no,no,no,si,si,no,no,no,no,no,no,no
601779,no,no,no,no,si,no,no,no,no,no,no,no
601780,no,no,no,no,si,no,no,no,no,no,no,si
601781,no,no,no,no,no,no,no,no,no,no,no,no
601782,no,no,no,no,si,no,no,no,no,no,no,no
601783,no,no,no,no,no,no,no,no,no,no,no,no
601784,no,no,no,no,no,no,no,no,no,no,no,no
601785,no,si,no,no,no,no,no,no,si,no,no,si
601786,no,no,no,si,si,no,no,no,no,si,no,no
601787,si,si,si,si,si,si,no,no,si,no,no,si
601788,no,no,si,no,si,si,no,no,no,no,no,si
601789,no,no,no,no,si,si,no,no,no,no,no,si
601790,no,no,no,no,si,no,no,no,no,no,no,no
601791,no,no,no,no,no,no,no,no,no,no,no,no
601792,no,no,no,no,si,no,no,no,no,no,no,si
601793,no,no,no,no,si,no,no,no,no,no,no,no
601794,no,no,no,si,si,no,no,no,no,no,no,no
601795,no,no,no,no,si,no,no,no,no,no,no,si
601796,no,no,no,no,no,no,no,no,no,no,no,no
601797,no,no,no,no,no,no,no,no,no,no,no,si
601798,no,no,no,si,no,no,no,no,no,no,no,no
601800,no,no,no,si,no,no,no,no,no,no,no,si
601801,no,no,no,si,no,no,no,no,no,no,no,si
601802,no,no,no,no,no,no,no,no,no,no,no,no
601803,no,no,no,no,no,no,no,no,no,no,no,si
601804,no,no,si,si,si,no,no,no,si,no,no,si
601805,no,no,no,no,si,no,no,no,no,no,no,si
601806,no,no,no,si,no,no,no,no,no,no,no,si
601807,no,no,no,no,no,no,no,no,no,no,no,no
601808,no,no,no,no,no,no,no,no,no,no,no,no
601809,no,no,no,no,no,no,no,no,si,no,no,no
601810,no,no,no,si,si,no,no,no,si,si,no,no
601811,no,no,no,si,si,si,no,no,no,no,no,no
601812,no,no,no,si,si,no,no,no,si,no,no,si
601813,no,no,no,no,no,no,no,no,si,no,no,si
601814,no,no,si,si,si,si,no,no,si,si,no,si
601815,no,no,no,no,no,no,no,no,no,no,no,no
601816,no,no,no,no,no,no,no,no,si,no,no,si
601817,si,si,si,si,si,si,no,no,si,si,no,si
601818,no,no,no,no,no,no,no,no,no,no,no,no
601819,no,no,no,si,si,si,no,no,si,si,no,no
601819,no,si,no,no,no,no,no,no,no,no,no,si
601820,si,si,si,si,si,si,no,no,si,si,no,si
601820,no,no,si,si,si,no,no,no,si,si,no,si
601821,no,no,no,no,no,no,no,no,no,no,no,no
601822,no,no,si,si,si,no,no,no,si,si,no,si
601823,no,no,no,no,no,no,no,no,si,no,no,no
601824,no,no,si,si,si,si,no,no,si,si,no,si
601825,no,si,no,no,si,no,no,no,no,no,no,si
601826,no,no,si,si,si,no,no,no,si,si,no,si
601827,no,no,no,no,no,no,no,no,no,no,no,no
601828,si,no,si,si,si,si,si,si,si,si,no,si
601829,no,no,no,si,si,no,no,no,no,no,no,si
601830,no,no,no,si,no,no,no,no,si,si,no,no
601831,no,no,no,no,no,no,no,no,no,no,no,no
601832,no,no,no,no,no,no,no,no,no,no,no,no
601833,no,no,no,no,no,no,no,no,no,no,no,no
601834,no,no,si,si,si,no,no,no,no,si,no,si
601835,no,no,no,si,si,si,no,no,no,no,no,si
601836,no,no,si,no,si,no,no,no,no,no,no,no
601837,no,no,no,si,si,no,no,no,no,no,no,no
601838,no,no,no,no,no,no,no,no,no,no,no,no
601839,no,no,si,si,si,no,no,no,no,si,no,si
601840,no,no,no,no,no,no,no,no,no,no,no,no
601841,no,no,no,no,no,no,no,no,no,no,no,no
601842,no,no,no,no,no,no,no,no,no,no,no,no
601843,si,no,no,no,no,no,no,no,no,no,no,no
601844,no,no,no,si,si,no,no,no,no,si,no,no
601845,si,no,no,si,si,no,no,si,no,si,no,si
601846,no,no,no,no,no,no,no,no,no,no,no,no
601847,no,no,no,no,no,no,no,no,no,no,no,no
601848,no,no,no,si,si,si,no,no,no,si,no,no
601849,no,no,no,si,si,no,no,no,si,si,no,si
601850,si,no,si,si,si,no,no,no,si,si,no,si
601851,no,no,no,si,si,no,no,no,no,no,no,no
601852,no,no,no,no,no,no,no,no,no,no,no,no
601853,no,no,no,no,si,no,no,no,no,no,no,no
601854,no,no,no,si,si,no,no,no,no,no,no,si
601855,no,si,si,si,si,si,no,no,si,si,no,si
601856,no,no,no,no,no,no,no,no,no,no,no,no
601857,no,no,si,si,si,si,si,no,si,si,no,si
601858,no,no,no,si,si,si,no,no,no,no,no,no
601859,no,no,no,no,no,no,no,no,no,si,no,no
601860,no,no,no,no,no,no,no,no,no,no,no,no
601861,no,no,no,si,si,no,no,no,no,no,no,si
601862,no,no,si,si,si,si,si,no,si,si,no,si
601863,no,no,no,no,no,no,no,no,no,no,no,no
601864,si,no,si,si,si,si,no,no,si,si,no,si
601865,si,no,si,si,si,si,no,no,si,si,no,si
601866,no,no,no,no,no,no,no,no,no,no,no,no
601867,no,no,no,si,si,no,no,no,no,si,no,no
601868,no,no,no,no,no,no,no,no,no,no,no,no
601869,no,no,si,si,si,no,no,no,no,no,no,si
601870,no,no,no,no,si,si,no,no,no,si,no,no
601871,no,no,si,si,si,si,no,no,si,si,no,si
601872,si,no,no,si,si,no,no,no,no,si,no,si
601873,si,si,si,si,si,si,si,si,si,si,si,si
601874,no,no,si,si,si,si,no,no,no,no,no,no
601875,si,no,no,si,no,si,no,no,no,no,no,si
601876,si,si,si,si,si,si,no,no,si,si,no,si
601877,no,no,no,si,si,no,no,no,no,si,no,no
601878,no,no,no,no,no,no,no,no,no,no,no,si
601879,si,no,no,si,si,no,no,no,no,no,no,no
601880,no,no,si,si,no,si,no,no,si,si,no,si
601881,no,no,no,no,no,no,no,no,no,no,no,no
601882,si,no,si,si,si,no,no,no,si,si,no,si
601883,no,no,no,si,si,no,no,no,si,no,no,no
601884,no,si,si,si,si,si,no,no,si,si,no,si
601885,no,no,si,si,si,si,no,no,si,si,no,si
601886,si,no,no,no,si,no,no,no,no,no,no,si
601887,si,no,si,si,si,si,no,no,no,si,no,si
601888,no,no,si,no,si,si,no,no,no,no,no,si
601889,no,no,si,si,si,no,no,no,no,no,no,no
601890,no,no,no,no,no,no,no,no,no,no,no,si
601891,no,no,no,no,no,no,no,no,no,no,no,no
601892,si,no,si,si,si,no,no,no,si,si,no,si
601893,no,no,no,no,si,no,no,no,no,no,no,si
601894,no,no,si,si,si,si,no,no,no,si,no,si
601895,no,no,si,si,si,si,no,no,no,si,no,si
601896,no,no,no,no,no,no,no,no,no,no,no,no
601897,no,no,si,si,no,no,no,no,si,si,no,si
601898,no,no,no,si,si,si,no,no,si,si,no,si
601899,no,no,no,no,no,no,no,no,no,no,no,no
601900,si,no,no,si,si,si,no,no,no,no,no,no
601901,si,no,si,si,si,no,no,no,si,si,no,si
601902,no,no,no,no,no,no,no,no,si,no,no,si
601903,no,no,no,si,si,si,no,no,no,no,no,no
601904,no,no,no,no,no,no,no,no,no,no,no,si
601905,no,no,no,si,si,no,no,no,no,no,no,no
601906,no,no,no,no,no,no,no,no,no,no,no,no
601907,no,no,no,si,si,si,no,no,no,no,no,si
601908,no,no,no,si,si,no,no,no,no,no,no,si
601909,no,no,no,no,no,no,no,no,si,no,no,si
601910,no,no,no,si,si,no,no,no,no,si,no,no
601912,no,no,no,si,no,no,no,no,si,no,no,si
601914,no,no,no,no,no,no,no,no,no,no,no,no
601915,no,no,no,no,no,no,no,no,no,no,no,no
601916,no,no,no,no,no,no,no,no,no,no,no,no
601917,si,no,si,si,si,si,si,no,si,si,no,si
601917,si,no,si,si,si,si,si,no,si,si,no,si
601918,no,no,no,no,no,no,no,no,no,no,no,no
601919,no,no,no,no,no,no,no,no,no,no,no,no
601920,no,no,no,no,no,no,no,no,no,no,no,no
601921,no,no,no,no,no,no,no,no,no,no,no,no
601922,no,no,no,si,si,no,no,no,si,no,no,si
601924,si,no,no,si,si,no,no,no,no,no,no,si
601925,no,no,no,no,no,no,no,no,si,no,no,si
601926,si,no,no,si,si,no,no,no,no,no,no,si
601927,no,no,no,no,si,no,no,no,no,si,no,no
601928,no,no,no,no,no,no,no,no,no,no,no,no
601929,no,no,no,si,si,no,no,no,si,no,no,si
601930,no,no,no,si,si,no,no,no,no,si,no,no
601931,no,no,no,no,no,no,no,no,no,no,no,si
601934,no,no,no,si,no,no,no,no,no,no,no,si
601935,no,no,no,no,no,no,no,no,no,no,no,si
601937,no,no,no,si,si,si,no,no,no,no,no,si
601938,no,no,no,no,no,no,no,no,no,no,no,si
601939,no,no,no,si,si,no,no,no,no,no,no,si
601940,no,no,no,no,no,no,no,no,no,no,no,si
601941,no,no,no,no,no,no,no,no,no,no,no,no
601942,si,no,no,si,si,si,no,no,no,no,no,si
601943,no,no,no,no,no,no,no,no,no,no,no,si
601944,no,no,no,no,no,no,no,no,si,no,no,si
601945,no,no,no,no,no,no,no,no,no,si,no,no
601946,no,no,no,no,no,no,no,no,no,no,no,no
601947,no,no,no,si,si,no,no,no,no,no,no,no
601948,no,no,no,no,no,no,no,no,no,no,no,no
601949,no,no,no,no,no,no,no,no,no,no,no,si
601950,no,no,no,no,no,no,no,no,no,no,no,si
601951,no,no,no,no,no,no,no,no,no,no,no,no
601952,no,no,no,no,no,no,no,no,no,no,no,no
601953,no,no,no,si,no,no,no,no,si,si,no,no
601954,no,no,no,si,si,si,no,no,si,si,no,si
601955,no,no,no,no,no,no,no,no,no,no,no,no
601957,no,no,no,si,no,no,no,no,no,si,no,si
601960,no,no,no,si,si,no,no,no,si,si,no,si
601961,no,no,no,no,no,no,no,no,si,si,no,si
601962,no,no,no,si,si,si,no,no,si,si,no,si
601963,no,no,no,si,no,no,no,no,no,no,no,si
601964,no,no,no,no,no,no,no,no,no,no,no,si
601965,no,no,no,si,no,no,no,no,no,no,no,si
601966,no,no,no,no,no,no,no,no,no,no,no,no
601967,si,si,si,si,si,no,no,no,si,si,no,si
601967,si,si,no,no,no,no,no,no,si,si,no,si
601968,si,si,no,si,no,no,no,no,no,no,no,si
601969,si,si,no,no,no,no,no,no,no,no,no,si
601970,no,no,no,no,no,no,no,no,no,no,no,si
601971,si,si,no,no,no,no,no,no,no,no,no,si
601972,si,si,no,no,si,si,no,no,no,no,no,si
601973,no,si,no,no,no,no,no,no,si,no,no,si
601974,no,si,no,no,no,no,no,no,no,no,no,no
601975,no,no,no,no,no,no,no,no,no,no,no,no
601976,no,si,no,no,no,no,no,no,no,no,no,si
601977,no,si,no,no,no,no,no,no,no,no,no,no
601978,no,si,no,no,no,no,no,no,no,no,no,si
601979,no,si,no,no,no,no,no,no,no,no,no,no
601980,no,no,no,no,no,no,no,no,no,no,no,no
601981,si,si,no,no,no,no,no,no,no,no,no,si
601982,si,si,no,no,no,no,no,no,no,no,no,si
601983,no,no,no,no,no,no,no,no,no,no,no,no
601984,no,no,no,no,no,no,no,no,no,no,no,no
601985,no,no,no,no,no,no,no,no,no,no,no,no
601986,si,si,no,no,no,no,no,no,no,no,no,si
601987,si,si,no,no,no,no,no,no,no,no,no,si
601988,no,no,no,no,no,no,no,no,no,no,no,no
601989,si,si,si,no,no,no,no,no,no,no,no,si
601990,no,no,no,no,no,no,no,no,no,no,no,si
601991,no,no,no,no,no,no,no,no,no,no,no,no
601992,no,si,no,no,no,no,no,no,no,no,no,si
601993,no,si,no,no,no,no,no,no,no,no,no,si
601994,no,si,no,no,no,no,no,no,no,no,no,si
601995,no,no,no,si,si,no,no,si,si,si,no,si
601996,si,no,no,si,si,no,no,si,si,si,no,si
601997,no,no,si,si,si,si,no,no,no,si,no,si
601998,si,no,si,si,si,si,no,no,si,si,no,si
601999,si,no,no,si,si,si,no,no,si,si,no,si
602000,no,no,no,no,no,no,no,no,no,no,no,si
602001,no,no,no,no,no,no,no,no,no,no,no,no
602002,no,no,no,no,no,no,no,no,no,no,no,no
602003,no,no,no,no,no,no,no,no,no,no,no,no
602004,no,no,no,no,no,no,no,no,no,no,no,no
602005,no,no,no,si,no,no,no,no,no,no,no,si
602006,no,no,no,si,no,no,no,no,no,no,no,si
602007,si,no,si,si,si,si,no,no,si,si,no,si
602008,si,no,si,si,si,si,no,no,si,si,no,si
602009,no,no,no,si,si,no,no,no,si,no,no,si
602010,si,no,si,si,si,si,no,no,si,si,no,si
602011,no,no,no,si,no,no,no,no,no,no,no,si
602012,si,no,si,si,si,no,no,no,si,si,no,si
602013,si,si,si,si,si,no,no,no,si,si,no,si
602014,no,no,no,no,no,no,no,no,no,no,no,si
602015,si,no,si,si,si,no,no,no,si,si,no,si
602016,si,si,si,si,si,si,no,no,si,si,no,si
602017,no,no,no,no,no,no,no,no,no,no,no,si
602018,si,no,no,no,no,no,no,no,no,no,no,si
602019,si,si,no,no,no,no,no,no,no,no,no,si
602020,no,no,no,no,si,no,no,si,no,no,no,si
602021,no,no,no,no,no,no,no,no,no,no,no,si
602022,no,no,no,si,si,no,no,no,no,no,no,si
602023,no,no,no,no,si,no,no,si,no,no,no,no
602024,no,no,no,no,si,no,no,si,no,no,no,si
602025,no,no,no,no,si,no,no,si,no,no,no,no
602026,no,no,no,no,no,no,no,no,si,no,no,si
602027,no,no,no,no,si,no,no,no,no,no,no,no
602028,no,no,no,no,no,no,no,no,si,no,no,si
602029,no,no,no,no,no,no,no,no,no,no,no,si
602030,no,no,no,si,si,no,no,no,no,si,no,si
602031,no,no,no,no,si,no,no,no,no,si,no,no
602032,no,si,si,si,si,no,no,si,si,si,no,si
602033,no,no,no,no,no,no,no,no,no,no,no,si
602033,no,no,no,no,no,no,no,no,no,no,no,no
602034,no,no,no,si,si,no,no,no,no,si,no,no
602035,no,no,no,si,si,no,no,no,si,si,no,no
602036,no,no,no,si,no,no,no,no,no,si,no,no
602037,no,no,no,no,no,no,no,no,no,no,no,no
602038,no,no,no,no,si,no,no,no,no,si,no,no
602039,no,no,no,si,si,no,no,no,no,no,no,no
602040,no,no,no,si,si,no,no,no,si,si,no,no
602041,no,no,no,no,si,no,no,no,no,no,no,si
602042,no,no,no,no,si,no,no,no,no,no,no,no
602043,si,no,no,si,si,no,no,no,no,no,no,si
602044,no,no,si,si,si,no,no,no,si,si,no,si
602045,no,no,no,no,si,no,no,no,no,si,no,no
602046,si,no,no,si,si,si,no,no,no,no,no,si
602047,no,no,no,si,si,no,no,no,si,si,no,si
602048,no,no,no,no,no,no,no,no,no,no,no,si
602049,no,no,no,si,si,no,no,no,no,si,no,si
602050,no,no,no,no,no,no,no,no,no,no,no,no
602051,no,no,no,no,no,no,no,no,no,no,no,si
