DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P541;P1392;P1392S1;P1392S3;P1959;P1960;P1960S1;P1960S2;P522;P523;P565S1;P565S2;P565S3;P565S4;P1179;P1179S1;P1179S3;P568;P525;P1343;P1343S1;P1343S3;P577;P3303;P3304;P3305S1;P3305S2;P3305S3;P3305S4;P3305S5;P3306;P3306S1;P3306S2;P3307;P3307S1;P3307S2;P3308;P3308S1;P3308S2;P3309;P3309S1;P3309S2;P33010;P33010S1;P33010S2;P33011;P33011S1;P33011S2;P3312;P526;P1315;P1315S1;P1315S3;P3115S1;P3115S2;P3115S3;P3115S4;P3313;P3314;P528;P1286;P1956;P1976S1;P1976S2;P1976S9;P1976S4;P1976S5;P1976S6;P1976S7;P1976S13;P1976S14;P1976S8
600009;237;2;1;2;384.90644501;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600010;237;1;1;1;235.69664748;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600010;237;4;1;4;235.69664748;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600010;237;5;1;5;235.69664748;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600011;237;1;1;1;235.69664748;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600012;237;1;1;1;530.31745682;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600012;237;2;1;2;530.31745682;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600013;237;1;1;1;354.7411147;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600013;237;2;1;2;354.7411147;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600014;237;1;1;1;530.31745682;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600015;237;1;1;1;530.31745682;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600015;237;2;1;2;530.31745682;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600016;237;1;1;1;851.75300538;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600017;237;2;1;2;530.31745682;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600017;237;1;1;1;530.31745682;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600018;237;1;1;1;84.526358705;1;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600018;237;2;1;2;84.526358705;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600018;237;3;1;3;84.526358705;;;;;;;;;1;2;2;1;2;2;2;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600019;237;1;1;1;236.41199915;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600019;237;2;1;2;236.41199915;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600020;237;1;1;1;119.40161206;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600020;237;2;1;2;119.40161206;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600021;237;1;1;1;156.28816769;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600021;237;2;1;2;156.28816769;;;;;;;;;1;2;2;1;2;2;2;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600022;237;1;1;1;138.55742758;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600022;237;2;1;2;138.55742758;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600023;237;1;1;1;140.7221974;2;2;;;2;2;;;1;2;2;1;2;2;2;;;;2;2;;;;2;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600024;237;1;1;1;161.1679695;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600025;237;1;1;1;148.90268676;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600025;237;2;1;2;148.90268676;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600025;237;3;1;3;148.90268676;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600025;237;4;1;4;148.90268676;;;;;;;;;2;;2;1;2;2;2;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600026;237;1;1;1;159.55595556;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600026;237;2;1;2;159.55595556;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600027;237;1;1;1;119.91353785;2;2;;;2;2;;;1;2;2;1;2;2;2;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600027;237;3;1;3;119.91353785;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600028;237;1;1;1;132.83744949;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600028;237;2;1;2;132.83744949;;;;;;;;;1;2;1;2;2;2;2;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600029;237;1;1;1;109.53622432;2;2;;;2;2;;;1;2;1;1;1;2;2;;;;2;2;;;;2;2;1;2;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600030;237;1;1;1;88.558299661;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600030;237;2;1;2;88.558299661;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600031;237;1;1;1;112.03501327;2;2;;;2;2;;;2;;2;1;2;2;2;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600031;237;2;1;2;112.03501327;;;;;;;;;1;2;2;1;2;2;2;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600032;237;1;1;1;107.445313;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600033;237;1;1;1;79.601074708;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600033;237;2;1;2;79.601074708;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600034;237;1;1;1;79.601074708;2;2;;;2;2;;;1;2;2;1;2;2;2;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600034;237;2;1;2;79.601074708;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600035;237;1;1;1;109.53622432;2;2;;;2;2;;;2;;2;1;2;2;2;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600036;237;1;1;1;93.814798268;2;2;;;2;2;;;1;2;2;1;2;2;2;;;;2;2;;;;1;2;1;2;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600037;237;1;1;1;124.14999299;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600038;237;1;1;1;69.030462744;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;1;1;1;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;1;2;2;2;2;2;2;2;2;2
