DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Ciudad,Clase,Estrato
600097,235,1,1,1,57.112354791,Villavicencio,Cabecera,1.0
600098,235,1,1,1,128.87376218,Villavicencio,Cabecera,1.0
600099,235,1,1,1,116.60887937,Villavicencio,Cabecera,9.0
600100,235,1,1,1,45.240198486,Villavicencio,Cabecera,1.0
600101,235,1,1,1,122.39712499,Villavicencio,Cabecera,1.0
600102,235,1,1,1,98.462637175,Villavicencio,Cabecera,3.0
600103,235,1,1,1,118.88601126,Villavicencio,Cabecera,1.0
600104,235,1,1,1,139.01242811,Villavicencio,Cabecera,1.0
600105,235,1,1,1,60.65345016,Villavicencio,Cabecera,3.0
600106,235,1,1,1,54.417477038,Villavicencio,Cabecera,3.0
600107,235,1,1,1,98.944813474,Villavicencio,Cabecera,2.0
600108,235,1,1,1,111.27011363,Villavicencio,Cabecera,3.0
600109,235,1,1,1,96.275317714,Villavicencio,Cabecera,2.0
600110,235,1,1,1,106.17368775,Villavicencio,Cabecera,2.0
600111,235,1,1,1,138.5118013,Villavicencio,Cabecera,1.0
600112,235,1,1,1,51.439777236,Villavicencio,Cabecera,3.0
600113,235,1,1,1,135.09782175,Villavicencio,Cabecera,3.0
600114,235,1,1,1,69.030462744,Villavicencio,Cabecera,2.0
600115,235,1,1,1,83.249929557,Villavicencio,Cabecera,2.0
600116,235,1,1,1,62.554208091,Villavicencio,Cabecera,3.0
600117,235,1,1,1,96.722059721,Villavicencio,Cabecera,2.0
600118,235,1,1,1,118.61118702,Villavicencio,Cabecera,3.0
600119,235,1,1,1,56.537638481,Villavicencio,Cabecera,3.0
600120,235,1,1,1,91.741760388,Villavicencio,Cabecera,2.0
600121,235,1,1,1,67.157236993,Villavicencio,Cabecera,3.0
600122,235,1,1,1,44.464942518,Villavicencio,Cabecera,3.0
600123,235,1,1,1,112.81047312,Villavicencio,Cabecera,3.0
600124,235,1,1,1,96.646152388,Villavicencio,Cabecera,2.0
600125,235,1,1,1,110.61063676,Villavicencio,Cabecera,3.0
600126,235,1,1,1,120.3559081,Villavicencio,Cabecera,3.0
600127,235,1,1,1,117.28914017,Villavicencio,Cabecera,3.0
600128,235,1,1,1,52.446657883,Villavicencio,Cabecera,3.0
600129,235,1,1,1,67.399965143,Villavicencio,Cabecera,3.0
600130,235,1,1,1,56.537638481,Villavicencio,Cabecera,3.0
600131,235,1,1,1,117.28914017,Villavicencio,Cabecera,3.0
600132,235,1,1,1,85.851940186,Villavicencio,Cabecera,2.0
600133,235,1,1,1,92.674952072,Villavicencio,Cabecera,2.0
600134,235,1,1,1,67.791981129,Villavicencio,Cabecera,2.0
600135,235,1,1,1,81.448218166,Villavicencio,Cabecera,2.0
600136,235,1,1,1,54.529544196,Villavicencio,Cabecera,3.0
600137,235,1,1,1,72.633638843,Villavicencio,Cabecera,2.0
600138,235,1,1,1,53.327490991,Villavicencio,Cabecera,3.0
600139,235,1,1,1,104.58910256,Villavicencio,Cabecera,2.0
600140,235,1,1,1,92.674952072,Villavicencio,Cabecera,2.0
600141,235,1,1,1,58.094422059,Villavicencio,Cabecera,1.0
600142,235,1,1,1,80.468486364,Villavicencio,Cabecera,2.0
600143,235,1,1,1,73.166355682,Villavicencio,Cabecera,3.0
600144,235,1,1,1,89.170585458,Villavicencio,Cabecera,3.0
600145,235,1,1,1,85.238031567,Villavicencio,Cabecera,3.0
600146,235,1,1,1,99.283676423,Villavicencio,Cabecera,2.0
600147,235,1,1,1,98.618237217,Villavicencio,Cabecera,3.0
600148,235,1,1,1,53.738826322,Villavicencio,Cabecera,3.0
600149,235,1,1,1,91.93757117,Villavicencio,Cabecera,3.0
600150,235,1,1,1,71.822371857,Villavicencio,Cabecera,3.0
600151,235,1,1,1,79.395725654,Villavicencio,Cabecera,3.0
600152,235,1,1,1,75.321307686,Villavicencio,Cabecera,3.0
600153,235,1,1,1,73.995396278,Villavicencio,Cabecera,2.0
600154,235,1,1,1,76.798196072,Villavicencio,Cabecera,3.0
600155,235,1,1,1,139.01242811,Villavicencio,Cabecera,2.0
600156,235,1,1,1,75.892714131,Villavicencio,Cabecera,3.0
600157,235,1,1,1,81.86497614,Villavicencio,Cabecera,3.0
600158,235,1,1,1,116.60887937,Villavicencio,Cabecera,2.0
600159,235,1,1,1,121.43155653,Villavicencio,Cabecera,2.0
600160,235,1,1,1,132.39149891,Villavicencio,Cabecera,1.0
600161,235,1,1,1,51.884254868,Villavicencio,Cabecera,3.0
600162,235,1,1,1,82.947940882,Villavicencio,Cabecera,2.0
600163,235,1,1,1,74.45491226,Villavicencio,Cabecera,2.0
600164,235,1,1,1,130.47230572,Villavicencio,Cabecera,2.0
600165,235,1,1,1,60.765517317,Villavicencio,Cabecera,3.0
600166,235,1,1,1,86.554832057,Villavicencio,Cabecera,2.0
600167,235,1,1,1,64.758764243,Villavicencio,Cabecera,1.0
600168,235,1,1,1,53.645657576,Villavicencio,Cabecera,1.0
600169,235,1,1,1,79.908391816,Villavicencio,Cabecera,3.0
600170,235,1,1,1,65.356224816,Villavicencio,Cabecera,4.0
600171,235,1,1,1,69.255900649,Villavicencio,Cabecera,4.0
600172,235,1,1,1,76.951000721,Villavicencio,Cabecera,3.0
600173,235,1,1,1,71.676696771,Villavicencio,Cabecera,3.0
600174,235,1,1,1,60.715778265,Villavicencio,Cabecera,4.0
600175,235,1,1,1,61.682065573,Villavicencio,Cabecera,1.0
600176,235,1,1,1,63.277795921,Villavicencio,Cabecera,1.0
600177,235,1,1,1,76.951000721,Villavicencio,Cabecera,3.0
600178,235,1,1,1,76.290216559,Villavicencio,Cabecera,1.0
600179,235,1,1,1,74.891320069,Villavicencio,Cabecera,1.0
