DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1182S1;P1182S2;P1182S3;P1181S1;P1181S2;P3317S1;P3317S2;P3317S3;P3318;P1612S1;P1611S1;P1772;P3319S1;P3319S2;P3320;P3321;P3119;P3121;P3122S1;P3122S2;P3122S3;P3122S4;P3123;P3124;P3125S1;P3125S2;P3125S3;P3125S4;P3125S5;P3125S6;P3126;P3322;P3127;P3128S1;P3128S2;P3128S3;P3128S4;P3128S5;P3128S6;P3128S7;P3128S8;P3129;P3323S1;P3323S2;P3323S3;P3323S4;P3323S5;P3323S6;P3324S1;P3324S2;P3324S3;P3324S4;P3325S1;P3325S2;P3325S3;P3325S4;P3326S1;P3326S2;P3326S3;P3326S4;P3326S5;P3326S6;P3326S7;P3326S8;P3326S9;P3327S1;P3327S2;P3327S3
606507;237;4;1;4;195.44905526;1;2;1;1;1;1;2;2;1;4;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;9;4;;;1;1;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606508;237;1;1;1;133.7147344;2;2;3;3;3;2;3;3;2;;2;2;9;9;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
606508;237;2;1;2;133.7147344;2;2;3;3;2;1;2;2;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;3;3;2;3;3;3
606509;237;4;1;4;120.15570308;1;1;1;1;1;2;2;2;2;;2;2;1;2;1;4;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;1;2;2;2;2;2;2;2;2;4;4;4
606509;237;1;1;1;120.15570308;1;1;1;2;2;1;1;1;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;1;;;;;;;;;1;;;;;3;2;2;2;2;2;2;2;2;4;4;4
606509;237;2;1;2;120.15570308;2;1;1;2;2;1;2;2;1;4;2;1;1;1;1;4;3;2;;;;;;;;;;;;;;2;4;;;;;1;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606509;237;3;1;3;120.15570308;1;1;1;1;1;1;1;1;2;;2;1;2;1;1;4;3;1;;1;;;4;1;;1;;;;;1;2;4;1;1;1;1;1;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;2;2;4;4;4
606510;237;1;1;1;154.42131685;2;3;3;3;3;3;2;3;2;;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;;;;1;;;;;;1;;;;;3;2;3;3;3;3;3;3;2;3;3;3
606510;237;2;1;2;154.42131685;1;2;2;2;3;3;1;3;2;;2;2;9;9;2;4;4;2;;;;;;;;;;;;;;2;4;;;;;1;;;;2;;;;1;;;;;;1;;;;;2;2;2;3;2;3;2;2;2;4;4;4
606510;237;3;1;3;154.42131685;2;3;3;3;3;3;2;3;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;;;;1;1;;;2;;1;;1;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;3;3;3
606511;237;1;1;1;117.77637736;2;2;1;2;2;1;2;1;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;1;3;1;;;1;;1;;;2;;1;1;;;;;1;;;;;;;2;2;2;1;1;3;2;2;2;3;3;3
606511;237;2;1;2;117.77637736;2;3;1;3;3;1;3;1;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;1;;;;;3;1;1;;;;;;1;;;;;;;2;2;2;1;1;3;2;2;2;3;3;3
606511;237;3;1;3;117.77637736;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;3;2;;;;;;;;;;;;;;2;3;1;;;1;;;;;3;;1;1;1;;;1;1;;;1;;;;2;2;2;1;1;3;1;1;2;4;4;4
606511;237;4;1;4;117.77637736;1;2;1;2;3;1;1;1;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;1;;;1;;;2;;1;;1;;;1;1;;;1;1;;;2;2;2;1;1;4;2;2;2;4;5;4
606511;237;5;2;1;117.77637736;1;1;1;3;2;1;1;1;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;1;;1;;;;2;1;1;;1;;;1;1;;;1;1;;;2;2;2;1;1;2;2;1;2;4;5;4
606511;237;6;2;2;117.77637736;1;1;1;2;3;1;1;1;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;1;1;1;;;2;1;1;1;;;;;1;;;;;;;2;2;2;1;1;2;2;2;2;4;4;4
606512;237;1;1;1;112.42437354;2;2;3;2;2;1;2;2;2;;2;2;9;1;9;1;1;2;;;;;;;;;;;;;;2;2;1;1;1;;1;1;;;2;1;;;;;;;;;1;;;;;3;3;3;3;1;3;4;3;3;3;2;3
606512;237;2;1;2;112.42437354;3;2;2;2;2;2;2;2;2;;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;2;2;1;1;1;;1;1;;;3;1;;;;;;;;;1;;;;;3;3;3;3;2;3;4;4;2;4;4;4
606513;237;1;1;1;147.13736191;2;2;3;3;3;2;3;3;1;2;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;2;1;;1;;1;1;;;3;1;;;;;;;;;1;;;;;3;2;2;2;2;3;4;3;2;2;2;2
606513;237;2;1;2;147.13736191;2;2;3;3;3;1;3;3;1;2;2;1;2;1;2;2;2;2;;;;;;;;;;;;;;2;2;1;1;1;;;1;;;3;1;;;;;;;;;1;;;;;3;3;2;2;2;3;3;3;2;2;2;2
606514;237;1;1;1;153.53151497;2;3;3;3;3;3;2;3;2;;2;2;9;9;9;2;2;2;;;;;;;;;;;;;;2;2;;;;;;1;;;2;;1;;;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;3;3;3
606514;237;2;1;2;153.53151497;2;3;2;3;3;3;3;3;2;;2;2;9;9;9;2;2;2;;;;;;;;;;;;;;9;2;;;;;1;1;;;2;;1;;1;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;3;3;3
606514;237;3;1;3;153.53151497;3;3;3;3;3;3;3;3;2;;2;2;9;9;9;2;2;2;;;;;;;;;;;;;;2;2;;1;;;;;;;2;;1;;1;;;;;;1;;;;;3;3;3;4;2;3;3;3;2;3;3;3
606514;237;4;1;4;153.53151497;3;3;3;3;3;3;3;3;2;;2;2;9;9;2;2;2;2;;;;;;;;;;;;;;2;2;;;1;;;1;;;2;;1;;1;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;3;3;3
606515;237;1;1;1;165.89682618;1;1;1;1;1;1;1;1;2;;2;2;9;9;2;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606515;237;2;1;2;165.89682618;1;1;1;1;1;1;2;1;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;5;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606516;237;1;1;1;123.60063895;3;3;3;3;3;3;3;3;2;;2;2;9;9;9;1;1;2;;;;;;;;;;;;;;2;1;1;;;;;1;;;2;;1;;1;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;2;2;2
606516;237;2;1;2;123.60063895;3;3;3;3;3;3;3;3;2;;2;2;9;9;2;1;1;2;;;;;;;;;;;;;;2;1;;;;;;1;;;2;;1;;;;;;;;1;;;;;3;3;4;3;2;3;3;3;2;3;3;3
606517;237;1;1;1;85.752444327;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;2;3;2;;;;;;;;;;;;;;2;3;1;;;;1;;;;2;1;;;;;;;;;1;;;;;2;2;3;1;1;2;3;2;2;4;4;4
606517;237;2;1;2;85.752444327;2;2;2;2;2;2;2;2;2;;2;2;9;1;9;3;2;2;;;;;;;;;;;;;;2;2;1;1;1;;1;1;;;3;1;;;;;;;;;1;;;;;3;3;4;2;2;3;3;4;2;3;3;3
606517;237;5;1;5;85.752444327;2;2;2;2;2;2;2;3;2;;2;2;9;1;9;1;1;2;;;;;;;;;;;;;;2;2;1;;;;1;1;;;3;1;;;;;;;;;1;;;;;3;3;3;3;3;3;3;4;3;3;3;2
606518;237;1;1;1;88.206300157;1;1;1;1;1;1;2;1;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;4;1;;;;;;;;1;;1;;;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;4;4;4
606518;237;2;1;2;88.206300157;1;1;1;1;2;1;1;1;1;3;2;1;2;1;9;3;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;1;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606518;237;5;1;5;88.206300157;1;1;1;1;2;1;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;1;;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606519;237;1;1;1;97.637425779;2;1;1;2;1;1;2;1;1;4;1;1;1;2;2;4;3;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;4;4;4
606520;237;1;1;1;123.60063895;1;1;1;3;3;2;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;1;;;1;;;2;1;1;;;;;;1;;;;;;;2;2;2;1;2;2;2;1;2;4;4;5
606520;237;2;1;2;123.60063895;1;1;1;3;3;1;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;1;;;;1;;;;2;1;1;;;;;;1;;;;;;;2;2;2;1;2;2;2;2;1;4;4;4
606521;237;1;1;1;110.2665835;2;2;1;2;2;1;3;1;2;;2;2;1;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;1;1;;;3;1;1;;;;;;1;;;;;;;2;2;2;1;1;3;2;2;2;4;4;4
606521;237;2;1;2;110.2665835;1;1;1;3;3;1;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;2;1;1;;;;;1;1;;;1;;;;2;2;2;1;2;2;2;2;2;5;5;4
606522;237;1;1;1;97.637425779;2;2;2;2;2;2;2;2;2;;2;2;2;1;9;1;1;2;;;;;;;;;;;;;;2;2;1;1;1;;1;1;;;2;1;;;;;;;;;1;;;;;3;3;3;3;1;3;3;3;3;3;3;3
606523;237;1;1;1;123.30839147;1;1;1;1;1;1;1;1;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;3;3;3
606524;237;1;1;1;160.42993031;2;2;2;1;2;2;2;2;2;;2;2;2;1;2;4;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;1;;;;;;;;1;;;;;3;3;2;2;2;2;3;3;2;4;4;4
606524;237;2;1;2;160.42993031;2;2;2;2;2;3;2;2;1;2;2;1;2;1;2;2;2;2;;;;;;;;;;;;;;2;2;1;;1;;;;;;3;1;1;;;;;;;;1;;;;;3;2;2;2;2;3;3;3;1;2;2;2
606525;237;1;1;1;126.11773878;2;3;2;3;3;2;3;3;2;;2;2;2;2;2;1;1;2;;;;;;;;;;;;;;1;2;;;1;;;;;;3;1;;;;;;;;;1;;;;;4;4;4;3;2;3;4;4;3;1;1;1
606525;237;2;1;2;126.11773878;2;2;2;3;3;3;3;3;2;;2;2;2;9;9;2;1;2;;;;;;;;;;;;;;2;2;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;4;4;1;4;4;4;1;2;2;2
606526;237;1;1;1;131.96378127;2;2;2;2;2;2;2;2;1;3;2;2;9;9;9;1;3;2;;;;;;;;;;;;;;2;1;1;1;1;;1;1;;;2;1;;;;;;;;;1;;;;;2;2;3;2;1;2;3;3;2;3;3;4
606526;237;2;1;2;131.96378127;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;9;3;1;;;1;1;;;;3;;;;;;2;;;;1;;;;;3;3;2;2;2;3;3;3;2;4;4;4
606526;237;3;1;3;131.96378127;2;2;2;2;2;2;2;2;1;3;2;1;2;2;9;3;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;3;2;2;2;3;3;3;3;3;4
606527;237;1;1;1;139.48989153;2;2;2;2;3;2;3;3;2;;2;2;9;9;9;2;3;2;;;;;;;;;;;;;;2;2;1;1;1;1;;1;;;3;1;1;;1;;;;;;1;;;;;3;3;2;3;2;3;3;3;2;3;3;3
606527;237;2;1;2;139.48989153;2;2;2;2;3;2;3;3;2;;2;2;9;9;9;2;3;2;;;;;;;;;;;;;;2;3;1;1;1;1;;1;;;3;1;1;;1;;;;;;1;;;;;3;3;2;3;2;3;3;3;2;3;3;3
606528;237;1;1;1;133.94230396;1;3;2;3;3;3;3;3;2;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;3;2;2;4;3;4;1;1;1;1
606528;237;2;1;2;133.94230396;2;2;3;3;3;3;3;3;2;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;3;2;2;4;3;2;2;3;2;2
606528;237;3;1;3;133.94230396;2;2;2;3;3;2;3;3;2;;2;2;2;9;2;2;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;4;4;4;3;1;1;1
606529;237;1;1;1;95.539272469;2;3;2;3;3;2;2;3;1;4;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;5;1;1;1;1;1;1;;;2;1;;;;;;;;;1;;;;;3;2;2;1;1;2;3;2;2;3;3;3
606529;237;2;1;2;95.539272469;2;2;2;2;2;1;2;2;1;3;2;2;9;9;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;2;1;;;1;;;;;;1;;;;;3;2;2;2;1;1;2;2;2;3;3;3
606529;237;4;1;4;95.539272469;2;2;2;2;2;2;2;2;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;2;1;1;;;1;;;;3;1;;;1;;;;;;1;;;;;2;3;2;3;2;3;3;2;2;2;1;2
606530;237;1;1;1;196.63905528;2;2;2;2;2;2;2;2;2;;2;2;9;1;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;2;1;2;2;3;3;1;3;3;3
606530;237;2;1;2;196.63905528;3;3;3;3;3;2;3;2;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;1;;;;;;;;;1;;;;;2;3;3;1;1;2;3;2;2;3;3;3
606530;237;4;1;4;196.63905528;2;2;3;2;3;2;2;3;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;2;1;3;3;3;3;3;3;3
606531;237;1;1;1;162.36753737;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;2;2;2;3;3;3
606531;237;2;1;2;162.36753737;1;2;1;1;2;1;2;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
606531;237;3;1;3;162.36753737;1;2;1;1;1;1;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;3;3
606532;237;1;1;1;117.06966711;1;3;2;3;3;2;3;3;1;4;2;2;2;2;2;3;2;2;;;;;;;;;;;;;;2;2;;;;;;;;2;;;;;;;2;;;;1;;;;;3;2;3;2;1;4;4;4;1;4;3;3
606532;237;2;1;2;117.06966711;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;3;2;1;4;3;3;1;2;2;2
606532;237;3;1;3;117.06966711;2;2;2;3;3;2;3;3;2;;2;2;1;2;2;2;2;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;4;3;3;1;3;3;3
606533;237;1;1;1;122.93849011;1;1;2;2;2;1;1;1;1;4;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;9;3;1;;1;1;;1;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;3;3;4;4;4
606533;237;2;1;2;122.93849011;2;2;2;2;2;3;3;2;1;4;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;3;1;;;1;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;2;2;4;4;4
606533;237;4;1;4;122.93849011;1;2;2;2;1;2;3;3;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;2;;1;;1;1;;;;2;1;;;;;;1;;;;1;;;;2;2;2;1;2;2;2;2;1;4;4;4
606534;237;1;1;1;124.43229856;2;2;3;3;2;2;2;2;1;2;2;2;9;9;9;2;2;2;;;;;;;;;;;;;;2;2;1;1;;;1;;;;2;1;;;1;;;;;;1;;;;;3;3;2;2;2;3;3;3;2;2;1;1
606534;237;2;1;2;124.43229856;2;2;2;3;3;2;3;3;1;3;2;2;9;9;9;2;3;2;;;;;;;;;;;;;;2;2;1;1;1;;1;;;;3;1;;;1;;;;;;1;;;;;3;3;2;2;2;2;3;2;2;2;1;1
606534;237;4;1;4;124.43229856;2;2;2;3;3;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;;;1;;;;1;1;1;;1;;;;;;1;;;;;2;2;2;2;2;3;3;3;2;3;3;3
606535;237;1;1;1;133.15646699;2;2;1;1;1;1;1;1;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;;1;1;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;2;2;4;4;4
606536;237;1;1;1;114.13411456;1;2;2;3;3;3;3;3;2;;2;2;2;2;9;2;3;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;2;3;3;2;3;4;3;4;3;1;1;1
606537;237;1;1;1;192.81699676;2;2;2;2;3;2;2;1;2;;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;2;2;2;3;2;1;4;2;3
606537;237;2;1;2;192.81699676;3;3;3;3;3;2;3;2;2;;2;2;9;9;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;2;2;1;3;3;2;3;3;3
606538;237;1;1;1;95.045522987;2;1;3;2;2;2;2;2;1;4;2;2;9;9;9;3;3;1;;;1;;4;1;;1;;;;;1;2;3;1;1;1;;1;1;;;1;1;;;;;;;;;1;;;;;3;3;2;4;1;2;3;3;1;3;2;2
606538;237;2;1;2;95.045522987;2;2;2;3;3;2;3;3;1;4;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;2;1;1;;1;1;1;;;2;1;;;1;;;;;;1;;;;;2;3;2;3;2;3;2;2;2;2;2;2
606539;237;1;1;1;211.58287171;1;2;2;2;2;2;2;2;1;4;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
606539;237;2;1;2;211.58287171;1;2;1;1;2;1;1;1;1;4;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;1;1;;;;2;1;;;1;;;;;;1;;;;;2;2;2;1;1;2;3;3;1;3;2;2
606540;237;1;1;1;203.47234371;2;2;2;2;2;2;3;2;1;3;2;2;9;9;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;1;;;2;1;;;;;;;;;1;;;;;3;3;2;1;1;2;3;2;1;3;3;3
606540;237;2;1;2;203.47234371;3;3;3;2;3;2;2;2;2;;2;2;9;9;9;3;2;2;;;;;;;;;;;;;;2;3;;;;;;1;;;3;;;;;;2;;;;1;;;;;3;3;3;1;2;2;3;3;1;2;3;3
606541;237;1;1;1;123.65393622;2;2;3;3;3;3;3;3;1;4;2;1;9;9;9;3;4;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;1;1;3;3;2;2;4;4;4
606542;237;1;1;1;142.93299376;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;2;2;;;;;;;;;;;;;;2;2;;1;1;;1;1;;;3;1;;;;;;;;;1;;;;;2;3;3;2;2;2;3;3;2;3;4;4
606542;237;2;1;2;142.93299376;1;1;2;1;2;2;2;2;2;;2;2;9;9;9;5;4;2;;;;;;;;;;;;;;9;4;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;3;3;3;2;2;2;4;4;4
606543;237;1;1;1;197.28278966;1;2;2;2;2;1;2;2;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;1;1;1;1;;;2;1;1;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
606544;237;1;1;1;147.4638455;2;3;3;3;3;1;2;2;1;3;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;1;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;2;2;2;3;3;3
606544;237;2;1;2;147.4638455;2;2;3;3;3;3;3;3;1;2;2;1;1;1;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;3;3;2;3;3;3
606545;237;2;1;2;121.4055807;2;2;2;2;3;3;3;2;2;;2;1;2;2;2;2;3;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;3;1;;;;;;;;;1;;;;;3;3;2;3;1;2;3;3;2;3;3;3
606545;237;3;1;3;121.4055807;2;2;2;2;2;2;2;2;2;;2;1;1;1;1;3;3;2;;;;;;;;;;;;;;2;3;1;1;;1;;1;;;2;1;;;;;;1;;;;;;;1;2;2;2;3;1;2;3;3;3;3;3;3
606545;237;1;1;1;121.4055807;1;2;1;1;2;3;2;2;2;;2;1;1;1;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;1;2;3;3;1;3;3;3
606546;237;1;1;1;129.04090221;2;2;1;2;2;2;2;2;1;3;2;2;1;1;1;4;4;1;;;1;;4;2;;1;;;;;1;2;4;;;1;1;1;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;3;2;2;4;4;3
606546;237;2;1;2;129.04090221;2;2;2;2;3;2;2;2;1;4;2;1;2;2;2;4;4;2;;;;;;;;;;;;;;1;3;1;;;;;;;;1;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606546;237;4;1;4;129.04090221;1;2;1;2;2;1;2;2;2;;2;2;1;1;1;4;4;2;;;;;;;;;;;;;;2;3;;;;1;1;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
606547;237;1;1;1;140.13082087;3;3;1;3;3;3;3;3;2;;2;1;9;1;2;2;1;2;;;;;;;;;;;;;;9;2;;;1;;1;1;;;3;1;;;1;;;1;;;;1;;1;;3;2;3;2;1;3;4;3;1;1;2;1
606547;237;2;1;2;140.13082087;1;2;1;3;3;3;3;3;2;;2;2;9;9;9;4;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;4;2;2;3;2;2;4;4;4
606548;237;1;1;1;148.52035966;1;1;2;2;2;2;2;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;1;;;;;;;1;1;;;;;;;;;1;;;;;2;2;2;2;1;3;3;2;2;4;4;4
606548;237;2;1;2;148.52035966;2;2;3;3;3;2;3;3;2;;2;2;2;2;2;1;1;2;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;;;2;1;1;;1;;;;;;1;;;;;3;3;3;2;2;3;3;3;3;1;1;1
606549;237;1;1;1;157.89793866;2;2;2;2;2;2;2;2;1;3;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;2;1;1;3;2;2;3;2;3
606550;237;1;1;1;160.72909312;2;3;2;1;2;2;1;2;1;4;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;;;2;1;;;1;;;;;;1;;;;;2;3;3;2;1;4;3;3;1;2;2;3
606550;237;2;1;2;160.72909312;3;3;2;1;2;2;2;3;1;3;2;2;9;9;9;3;2;2;;;;;;;;;;;;;;2;2;1;1;1;1;1;1;;;2;1;;;1;;;;;;1;;;;;3;3;3;2;1;4;3;3;3;2;2;2
606551;237;1;1;1;163.29734199;1;2;2;2;2;2;2;1;1;4;2;1;1;2;2;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;1;2;2;1;2;2;2;2;2;4;4;4
606552;237;1;1;1;105.59349258;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;;;1;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;3;2;2;4;4;4
606552;237;2;1;2;105.59349258;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;;;1;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;3;3;2;2;4;4;4
606552;237;3;1;3;105.59349258;2;2;2;2;2;2;2;2;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;;1;;;1;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;3;3;2;2;4;4;4
606553;237;1;1;1;96.537989656;2;2;3;3;3;3;2;3;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;;1;;;;;;;;1;;;;;3;3;3;3;2;3;3;3;3;3;3;3
606553;237;2;1;2;96.537989656;2;2;3;3;3;3;2;3;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;;1;;;;;;;;1;;;;;3;3;3;4;2;2;3;3;2;3;3;3
606553;237;3;1;3;96.537989656;2;2;3;3;3;2;2;3;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;1;1;;1;;;;;;1;;;;;3;3;3;3;2;3;3;3;2;4;3;4
606553;237;4;1;4;96.537989656;2;2;3;3;3;3;2;3;2;;2;2;9;9;9;2;1;2;;;;;;;;;;;;;;2;1;1;;;;;;;;3;1;1;;1;;;;;;1;;;;;3;3;3;3;1;4;4;4;1;2;2;2
606554;237;1;1;1;110.99505906;1;2;2;1;2;2;1;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;1;4;1;1;;1;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;3;2;2;2;4;4;4
606554;237;2;1;2;110.99505906;1;2;2;1;2;2;2;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;1;;;1;;;;2;1;;1;1;;;;;;1;;;;;2;2;2;2;2;3;3;2;2;4;4;4
